imdbID,Title,Year,Runtime,Genre,Awards,BoxOffice,Ratings,Language,Director,Actors
tt9114286,Black Panther: Wakanda Forever,2022,161 min,"Action, Adventure, Drama",Won 1 Oscar. 50 wins & 172 nominations total,"$453,829,060 ","[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '67/100'}]","English, Xhosa, Maya, Spanish, Haitian, French",Ryan Coogler,"Letitia Wright, Lupita Nyong'o, Danai Gurira"
tt1630029,Avatar: The Way of Water,2022,192 min,"Action, Adventure, Fantasy",Won 1 Oscar. 75 wins & 150 nominations total,"$684,075,767 ","[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",English,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver"
tt5884796,Plane,2023,107 min,"Action, Adventure, Thriller",N/A,"$32,111,181 ","[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '62/100'}]","English, Tagalog",Jean-François Richet,"Gerard Butler, Mike Colter, Tony Goldwyn"
tt6710474,Everything Everywhere All at Once,2022,139 min,"Action, Adventure, Comedy",Won 7 Oscars. 402 wins & 373 nominations total,"$77,191,785 ","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '81/100'}]","English, Mandarin, Cantonese","Daniel Kwan, Daniel Scheinert","Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis"
tt5433140,Fast X,2023,141 min,"Action, Adventure, Crime",2 wins & 14 nominations,"$146,126,015 ","[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",English,Louis Leterrier,"Vin Diesel, Michelle Rodriguez, Jason Statham"
tt10954600,Ant-Man and the Wasp: Quantumania,2023,124 min,"Action, Adventure, Comedy",13 nominations,"$214,504,909 ","[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",English,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Douglas"
tt9686790,Shotgun Wedding,2022,101 min,"Action, Comedy, Romance",1 win & 1 nomination,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",English,Jason Moore,"Jennifer Lopez, Josh Duhamel, Lenny Kravitz"
tt12593682,Bullet Train,2022,127 min,"Action, Comedy, Thriller",2 wins & 18 nominations,"$103,368,602 ","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '49/100'}]","English, Japanese, Spanish, Russian",David Leitch,"Brad Pitt, Joey King, Aaron Taylor-Johnson"
tt1016150,All Quiet on the Western Front,2022,148 min,"Action, Drama, War",Won 4 Oscars. 56 wins & 84 nominations total,N/A,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '76/100'}]","German, French",Edward Berger,"Felix Kammerer, Albrecht Schuch, Aaron Hilmer"
tt1745960,Top Gun: Maverick,2022,130 min,"Action, Drama",Won 1 Oscar. 107 wins & 234 nominations total,"$718,732,821 ","[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",English,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller"
tt12844910,Pathaan,2023,146 min,"Action, Adventure, Thriller",10 wins & 44 nominations,"$17,487,476 ","[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '47/100'}]","Hindi, English, Russian",Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham"
tt15486810,Teen Wolf: The Movie,2023,141 min,"Action, Drama, Fantasy",1 nomination,N/A,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '51/100'}]","English, Korean",Russell Mulcahy,"Tyler Posey, Crystal Reed, Holland Roden"
tt1825683,Black Panther,2018,134 min,"Action, Adventure, Sci-Fi",Won 3 Oscars. 123 wins & 289 nominations total,"$700,426,566 ","[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '88/100'}]","English, Swahili, Nama, Xhosa, Korean",Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o"
tt1877830,The Batman,2022,176 min,"Action, Crime, Drama",Nominated for 3 Oscars. 38 wins & 181 nominations total,"$369,345,583 ","[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '72/100'}]","English, Spanish, Latin, Italian",Matt Reeves,"Robert Pattinson, Zoë Kravitz, Jeffrey Wright"
tt0092099,Top Gun,1986,109 min,"Action, Drama",Won 1 Oscar. 11 wins & 9 nominations total,"$180,258,178 ","[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '57%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",English,Tony Scott,"Tom Cruise, Tim Robbins, Kelly McGillis"
tt0499549,Avatar,2009,162 min,"Action, Adventure, Fantasy",Won 3 Oscars. 91 wins & 131 nominations total,"$785,221,649 ","[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '83/100'}]","English, Spanish",James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver"
tt13539646,The Wandering Earth II,2023,173 min,"Action, Adventure, Drama",29 wins & 23 nominations,"$5,023,132 ","[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '56/100'}]","Mandarin, Russian, English, Hindi, French, Japanese, Shanghainese, Korean",Frant Gwo,"Jing Wu, Yi Sha, Yanmanzi Zhu"
tt6443346,Black Adam,2022,125 min,"Action, Adventure, Fantasy",1 win & 12 nominations,"$168,152,111 ","[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '41/100'}]",English,Jaume Collet-Serra,"Dwayne Johnson, Aldis Hodge, Pierce Brosnan"
tt7985704,Operation Fortune: Ruse de guerre,2023,114 min,"Action, Comedy, Thriller",N/A,"$6,496,125 ","[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '51/100'}]","English, Turkish, Russian, Spanish, Japanese",Guy Ritchie,"Jason Statham, Aubrey Plaza, Cary Elwes"
tt8041270,Jurassic World: Dominion,2022,147 min,"Action, Adventure, Sci-Fi",1 win & 25 nominations,"$376,851,080 ","[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '38/100'}]","English, Maltese, French",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Laura Dern"
tt1392170,The Hunger Games,2012,142 min,"Action, Adventure, Sci-Fi",Won 1 BAFTA Award34 wins & 49 nominations total,"$408,010,692 ","[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",English,Gary Ross,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth"
tt7693316,Devotion,2022,139 min,"Action, Biography, Drama",2 wins & 9 nominations,"$20,511,938 ","[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '66/100'}]","English, Korean",J.D. Dillard,"Jonathan Majors, Glen Powell, Christina Jackson"
tt11138512,The Northman,2022,137 min,"Action, Adventure, Drama",6 wins & 65 nominations,"$34,233,110 ","[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '82/100'}]","English, Norse, Old, Ukrainian",Robert Eggers,"Alexander Skarsgård, Nicole Kidman, Claes Bang"
